rule_number,lhs,rhs,confidence,lift,leverage,conviction
1901,"['97+=97+_1', '127. NUMERO DE ARTICULACIONES INFLAMADAS=[0.00, 3.21)', '130. PUNTOS DE FIBROMIALGIA=[0.00, 4.00)', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[0.00, 70.00)']","['96+=96+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0']",0.93,1.49,0.1,5.2
1902,"['97+=97+_1', '127. NUMERO DE ARTICULACIONES INFLAMADAS=[0.00, 3.21)', '130. PUNTOS DE FIBROMIALGIA=[0.00, 4.00)', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)']","['96+=96+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[0.00, 70.00)']",0.93,1.49,0.1,5.2
1906,"['97+=97+_1', '37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 3.00)', '130. PUNTOS DE FIBROMIALGIA=[0.00, 4.00)', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)']","['96+=96+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0']",0.93,1.48,0.11,5.17
1907,"['97+=97+_1', '37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 3.00)', '130. PUNTOS DE FIBROMIALGIA=[0.00, 4.00)', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[0.00, 70.00)']","['96+=96+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0']",0.93,1.48,0.11,5.17
1908,"['97+=97+_1', '37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 3.00)', '130. PUNTOS DE FIBROMIALGIA=[0.00, 4.00)', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)']","['96+=96+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[0.00, 70.00)']",0.93,1.48,0.11,5.17
1963,"['97+=97+_1', '37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 3.00)', '126. NUMERO DE ARTICULACIONES DOLOROSAS=[0.00, 4.36)', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)']","['96+=96+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0']",0.92,1.48,0.11,4.77
1964,"['97+=97+_1', '37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 3.00)', '126. NUMERO DE ARTICULACIONES DOLOROSAS=[0.00, 4.36)', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[0.00, 70.00)']","['96+=96+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0']",0.92,1.48,0.11,4.77
1965,"['97+=97+_1', '37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 3.00)', '126. NUMERO DE ARTICULACIONES DOLOROSAS=[0.00, 4.36)', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)']","['96+=96+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[0.00, 70.00)']",0.92,1.48,0.11,4.77
1981,"['97+=97+_1', '37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 3.00)', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)']","['96+=96+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0']",0.92,1.47,0.14,4.74
1982,"['97+=97+_1', '37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 3.00)', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[0.00, 70.00)']","['96+=96+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0']",0.92,1.47,0.14,4.74
1983,"['97+=97+_1', '37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 3.00)', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)']","['96+=96+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[0.00, 70.00)']",0.92,1.47,0.14,4.74
2008,"['97+=97+_1', '130. PUNTOS DE FIBROMIALGIA=[0.00, 4.00)', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)']","['96+=96+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0']",0.92,1.47,0.13,4.59
2009,"['97+=97+_1', '130. PUNTOS DE FIBROMIALGIA=[0.00, 4.00)', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[0.00, 70.00)']","['96+=96+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0']",0.92,1.47,0.13,4.59
2010,"['97+=97+_1', '130. PUNTOS DE FIBROMIALGIA=[0.00, 4.00)', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)']","['96+=96+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[0.00, 70.00)']",0.92,1.47,0.13,4.59
2032,"['97+=97+_1', '127. NUMERO DE ARTICULACIONES INFLAMADAS=[0.00, 3.21)', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)']","['96+=96+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0']",0.92,1.47,0.12,4.49
2033,"['97+=97+_1', '127. NUMERO DE ARTICULACIONES INFLAMADAS=[0.00, 3.21)', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[0.00, 70.00)']","['96+=96+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0']",0.92,1.47,0.12,4.49
2034,"['97+=97+_1', '127. NUMERO DE ARTICULACIONES INFLAMADAS=[0.00, 3.21)', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)']","['96+=96+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[0.00, 70.00)']",0.92,1.47,0.12,4.49
1975,"['97+=97+_1', '126. NUMERO DE ARTICULACIONES DOLOROSAS=[0.00, 4.36)', '130. PUNTOS DE FIBROMIALGIA=[0.00, 4.00)', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)']","['96+=96+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0']",0.92,1.47,0.11,4.75
1976,"['97+=97+_1', '126. NUMERO DE ARTICULACIONES DOLOROSAS=[0.00, 4.36)', '130. PUNTOS DE FIBROMIALGIA=[0.00, 4.00)', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[0.00, 70.00)']","['96+=96+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0']",0.92,1.47,0.11,4.75
1977,"['97+=97+_1', '126. NUMERO DE ARTICULACIONES DOLOROSAS=[0.00, 4.36)', '130. PUNTOS DE FIBROMIALGIA=[0.00, 4.00)', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)']","['96+=96+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[0.00, 70.00)']",0.92,1.47,0.11,4.75
2143,"['97+=97+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0', '107. TíTULO DE ANTICUERPOS ANTINUCLEARES O ANA=[0.00, 160.00)']","['96+=96+_1', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)']",0.91,1.49,0.1,4.18
2144,"['97+=97+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0', '107. TíTULO DE ANTICUERPOS ANTINUCLEARES O ANA=[0.00, 160.00)', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[0.00, 70.00)']","['96+=96+_1', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)']",0.91,1.49,0.1,4.18
2145,"['97+=97+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0', '107. TíTULO DE ANTICUERPOS ANTINUCLEARES O ANA=[0.00, 160.00)']","['96+=96+_1', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[0.00, 70.00)']",0.91,1.49,0.1,4.18
2056,"['97+=97+_1', '107. TíTULO DE ANTICUERPOS ANTINUCLEARES O ANA=[0.00, 160.00)', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)']","['96+=96+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0']",0.91,1.46,0.1,4.36
2057,"['97+=97+_1', '107. TíTULO DE ANTICUERPOS ANTINUCLEARES O ANA=[0.00, 160.00)', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[0.00, 70.00)']","['96+=96+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0']",0.91,1.46,0.1,4.36
2058,"['97+=97+_1', '107. TíTULO DE ANTICUERPOS ANTINUCLEARES O ANA=[0.00, 160.00)', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)']","['96+=96+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[0.00, 70.00)']",0.91,1.46,0.1,4.36
2170,"['97+=97+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0', '37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 3.00)', '127. NUMERO DE ARTICULACIONES INFLAMADAS=[0.00, 3.21)']","['96+=96+_1', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)']",0.9,1.48,0.1,4.01
2171,"['97+=97+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0', '37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 3.00)', '127. NUMERO DE ARTICULACIONES INFLAMADAS=[0.00, 3.21)', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[0.00, 70.00)']","['96+=96+_1', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)']",0.9,1.48,0.1,4.01
2172,"['97+=97+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0', '37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 3.00)', '127. NUMERO DE ARTICULACIONES INFLAMADAS=[0.00, 3.21)']","['96+=96+_1', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[0.00, 70.00)']",0.9,1.48,0.1,4.01
2173,"['97+=97+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0', '127. NUMERO DE ARTICULACIONES INFLAMADAS=[0.00, 3.21)', '130. PUNTOS DE FIBROMIALGIA=[0.00, 4.00)']","['96+=96+_1', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)']",0.9,1.48,0.1,3.99
2174,"['97+=97+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0', '127. NUMERO DE ARTICULACIONES INFLAMADAS=[0.00, 3.21)', '130. PUNTOS DE FIBROMIALGIA=[0.00, 4.00)', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[0.00, 70.00)']","['96+=96+_1', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)']",0.9,1.48,0.1,3.99
2175,"['97+=97+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0', '127. NUMERO DE ARTICULACIONES INFLAMADAS=[0.00, 3.21)', '130. PUNTOS DE FIBROMIALGIA=[0.00, 4.00)']","['96+=96+_1', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[0.00, 70.00)']",0.9,1.48,0.1,3.99
2203,"['97+=97+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0', '127. NUMERO DE ARTICULACIONES INFLAMADAS=[0.00, 3.21)']","['96+=96+_1', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)']",0.9,1.47,0.12,3.8
2204,"['97+=97+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0', '127. NUMERO DE ARTICULACIONES INFLAMADAS=[0.00, 3.21)', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[0.00, 70.00)']","['96+=96+_1', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)']",0.9,1.47,0.12,3.8
2205,"['97+=97+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0', '127. NUMERO DE ARTICULACIONES INFLAMADAS=[0.00, 3.21)']","['96+=96+_1', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[0.00, 70.00)']",0.9,1.47,0.12,3.8
2263,"['97+=97+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0', '37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 3.00)', '130. PUNTOS DE FIBROMIALGIA=[0.00, 4.00)']","['96+=96+_1', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)']",0.9,1.47,0.11,3.73
