rule_number,lhs,rhs,confidence,lift,leverage,conviction
504,"['97+=97+_1', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[10.00, 75.00)']",['138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_1'],0.87,1.35,0.08,2.76
593,"['105. ANTICUERPOS ANTINUCLEARES O ANA=100_0', '37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 3.00)']",['97+=97+_1'],0.86,0.94,-0.02,0.61
604,"['106. PATRóN DE ANTICUERPOS ANTINUCLEARES O ANA=101_0', '37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 3.00)']",['97+=97+_1'],0.86,0.94,-0.02,0.6
619,"['97+=97+_1', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[10.00, 75.00)']","['96+=96+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_1']",0.85,1.43,0.09,2.73
637,"['96+=96+_1', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[10.00, 75.00)']","['97+=97+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_1']",0.84,1.42,0.09,2.58
748,"['139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[10.00, 75.00)']","['96+=96+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_1']",0.82,1.37,0.09,2.18
726,"['96+=96+_1', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[100.00, 140.00)']","['97+=97+_1', '37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 3.00)']",0.82,1.14,0.05,1.55
701,"['96+=96+_1', '97+=97+_1', '130. PUNTOS DE FIBROMIALGIA=[10.00, 18.00)']",['varRta=varRta_A'],0.82,0.95,-0.02,0.75
721,"['97+=97+_1', '37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 3.00)', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[100.00, 140.00)']",['varRta=varRta_A'],0.82,0.95,-0.02,0.74
725,"['96+=96+_1', '37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 3.00)', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[100.00, 140.00)']",['varRta=varRta_A'],0.82,0.95,-0.02,0.74
728,"['37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 3.00)', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[100.00, 140.00)']",['varRta=varRta_A'],0.82,0.95,-0.02,0.73
745,"['96+=96+_1', '97+=97+_1', '37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 3.00)', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[100.00, 140.00)']",['varRta=varRta_A'],0.82,0.94,-0.02,0.72
709,['105. ANTICUERPOS ANTINUCLEARES O ANA=100_0'],"['96+=96+_1', '97+=97+_1']",0.82,0.94,-0.02,0.69
719,['106. PATRóN DE ANTICUERPOS ANTINUCLEARES O ANA=101_0'],"['96+=96+_1', '97+=97+_1']",0.82,0.94,-0.02,0.68
727,"['37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 3.00)', '107. TíTULO DE ANTICUERPOS ANTINUCLEARES O ANA=[0.00, 160.00)']","['96+=96+_1', '97+=97+_1']",0.82,0.93,-0.02,0.68
729,"['varRta=varRta_A', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[0.00, 100.00)']","['96+=96+_1', '97+=97+_1']",0.82,0.93,-0.02,0.68
732,"['105. ANTICUERPOS ANTINUCLEARES O ANA=100_0', 'varRta=varRta_A']","['96+=96+_1', '97+=97+_1']",0.82,0.93,-0.02,0.67
743,"['106. PATRóN DE ANTICUERPOS ANTINUCLEARES O ANA=101_0', 'varRta=varRta_A']","['96+=96+_1', '97+=97+_1']",0.82,0.93,-0.02,0.67
752,"['138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_1', '37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 3.00)']",['varRta=varRta_A'],0.81,0.94,-0.03,0.71
756,"['96+=96+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_1', '37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 3.00)']",['varRta=varRta_A'],0.81,0.93,-0.03,0.69
759,"['97+=97+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_1', '37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 3.00)']",['varRta=varRta_A'],0.81,0.93,-0.03,0.69
784,"['139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[10.00, 75.00)']","['97+=97+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_1']",0.8,1.35,0.08,2.04
777,"['138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_1', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[100.00, 140.00)']",['varRta=varRta_A'],0.8,0.93,-0.02,0.67
796,"['96+=96+_1', '97+=97+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_1', '37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 3.00)']",['varRta=varRta_A'],0.8,0.92,-0.03,0.66
